task_id,format,examples,mean_tokens,min_tokens,max_tokens,reduction_vs_raw_pct
ALL,raw_cli,300,696.34,34,2357,0.0
ALL,rtk_style,300,463.24,22,1106,33.47
ALL,structured_json,300,1664.15,101,5903,-138.98
ALL,compact_json,300,1392.6,101,5757,-99.99
ALL,task_focused_json,300,478.21,60,2265,31.33
task_01_largest_file,raw_cli,30,645,450,825,0.0
task_01_largest_file,rtk_style,30,567.6,396,726,12.0
task_01_largest_file,structured_json,30,1426,997,1822,-121.09
task_01_largest_file,compact_json,30,1219.6,853,1558,-89.09
task_01_largest_file,task_focused_json,30,574.6,403,733,10.91
task_02_newest_file,raw_cli,30,623.33,450,825,0.0
task_02_newest_file,rtk_style,30,548.53,396,726,12.0
task_02_newest_file,structured_json,30,1378.33,997,1822,-121.12
task_02_newest_file,compact_json,30,1178.87,853,1558,-89.12
task_02_newest_file,task_focused_json,30,804.87,583,1063,-29.12
task_03_extension_count,raw_cli,30,668.33,450,850,0.0
task_03_extension_count,rtk_style,30,588.13,396,748,12.0
task_03_extension_count,structured_json,30,1477.33,997,1877,-121.05
task_03_extension_count,compact_json,30,1263.47,853,1605,-89.05
task_03_extension_count,task_focused_json,30,125.33,64,208,81.25
task_04_pattern_file_count,raw_cli,30,1123.47,530,2212,0.0
task_04_pattern_file_count,rtk_style,30,536.8,253,1056,52.22
task_04_pattern_file_count,structured_json,30,2852.47,1356,5593,-153.9
task_04_pattern_file_count,compact_json,30,2852.47,1356,5593,-153.9
task_04_pattern_file_count,task_focused_json,30,121.67,63,191,89.17
task_05_pattern_occurrence_count,raw_cli,30,1126.6,389,2271,0.0
task_05_pattern_occurrence_count,rtk_style,30,538.63,187,1089,52.19
task_05_pattern_occurrence_count,structured_json,30,2861.43,1005,5757,-153.99
task_05_pattern_occurrence_count,compact_json,30,2861.43,1005,5757,-153.99
task_05_pattern_occurrence_count,task_focused_json,30,1092.27,389,2193,3.05
task_06_first_failure,raw_cli,30,260.63,45,532,0.0
task_06_first_failure,rtk_style,30,124.67,22,253,52.17
task_06_first_failure,structured_json,30,678.3,136,1358,-160.25
task_06_first_failure,compact_json,30,678.3,136,1358,-160.25
task_06_first_failure,task_focused_json,30,445.67,91,889,-70.99
task_07_total_line_count,raw_cli,30,50.8,34,90,0.0
task_07_total_line_count,rtk_style,30,57.9,39,102,-13.98
task_07_total_line_count,structured_json,30,147.2,101,255,-189.76
task_07_total_line_count,compact_json,30,147.2,101,255,-189.76
task_07_total_line_count,task_focused_json,30,141.2,95,249,-177.95
task_08_average_file_size,raw_cli,30,636.67,450,850,0.0
task_08_average_file_size,rtk_style,30,560.27,396,748,12.0
task_08_average_file_size,structured_json,30,1407.67,997,1877,-121.1
task_08_average_file_size,compact_json,30,1203.93,853,1605,-89.1
task_08_average_file_size,task_focused_json,30,139.93,60,236,78.02
task_09_largest_log_error_count,raw_cli,30,1202.77,424,2357,0.0
task_09_largest_log_error_count,rtk_style,30,559.17,194,1106,53.51
task_09_largest_log_error_count,structured_json,30,3004.93,1060,5903,-149.84
task_09_largest_log_error_count,compact_json,30,1313.2,492,2490,-9.18
task_09_largest_log_error_count,task_focused_json,30,1159.87,417,2265,3.57
task_10_stale_large_file_detection,raw_cli,30,625.83,450,850,0.0
task_10_stale_large_file_detection,rtk_style,30,550.73,396,748,12.0
task_10_stale_large_file_detection,structured_json,30,1407.83,1021,1901,-124.95
task_10_stale_large_file_detection,compact_json,30,1207.57,877,1629,-92.95
task_10_stale_large_file_detection,task_focused_json,30,176.67,69,449,71.77
